"codigo_ibge","categoria","cod_cnae","ano_atividade","cod_uf","ativas","mei"
"3106200","5","5611201","2017-04-01","31","1033","1"
"4205407","5","5611205","2017-04-01","42","16","0"
"1100205","5","5611205","2017-05-01","11","8","1"
"1600303","5","5611203","2017-05-01","16","655","0"
"1600303","5","5611205","2017-05-01","16","6","0"
"5002704","5","5611201","2020-11-01","50","1756","0"
"5107206","5","5611205","2020-11-01","51","2","1"
"1100205","5","5611201","2020-12-01","11","575","1"
"2800308","5","5611201","2020-12-01","28","1119","0"
"3550308","5","5611205","2021-10-01","35","620","0"
"1400100","5","5611204","2021-11-01","14","242","0"
"1600303","5","5611201","2021-11-01","16","757","1"
"2211001","5","5611204","2021-03-01","22","300","0"
"2304400","5","5611201","2021-03-01","23","3541","1"
"2704302","5","5611203","2021-03-01","27","1906","1"
"3205309","5","5611203","2021-03-01","32","689","1"
"4106902","5","5611203","2021-03-01","41","6254","0"
"4106902","5","5611205","2021-03-01","41","118","0"
"5107206","5","5611201","2020-01-01","51","2","1"
"1100205","5","5611205","2020-02-01","11","19","1"
"1302603","5","5611203","2020-02-01","13","2388","0"
"5103403","5","5611204","2022-03-01","51","335","1"
"2611606","5","5611204","2022-04-01","26","671","1"
"2606200","5","5611204","2020-11-01","26","21","0"
"2927408","5","5611201","2018-11-01","29","5540","0"
"2927408","5","5611204","2018-11-01","29","1285","0"
"4106902","5","5611201","2018-11-01","41","5540","0"
"4205407","5","5611204","2018-11-01","42","204","1"
"5103403","5","5611203","2020-04-01","51","1133","1"
"5103403","5","5611204","2020-04-01","51","255","0"
"1721000","5","5611204","2020-05-01","17","113","0"
"1400100","5","5611205","2021-04-01","14","42","0"
"2800308","5","5611204","2021-04-01","28","181","0"
"3304557","5","5611204","2021-04-01","33","3235","0"
"4106902","5","5611204","2021-04-01","41","1663","0"
"2211001","5","5611204","2019-11-01","22","312","0"
"2408102","5","5611203","2019-11-01","24","1330","0"
"2704302","5","5611204","2019-11-01","27","290","0"
"3205309","5","5611203","2019-11-01","32","1199","0"
"3304557","5","5611201","2019-11-01","33","6452","1"
"4205407","5","5611203","2019-11-01","42","850","1"
"5107206","5","5611203","2019-11-01","51","3","0"
"5107206","5","5611204","2019-11-01","51","1","1"
"2304400","5","5611201","2019-08-01","23","5108","0"
"2927408","5","5611204","2019-08-01","29","1499","1"
"3304557","5","5611205","2019-08-01","33","93","0"
"1100205","5","5611204","2019-09-01","11","178","1"
"5107206","5","5611204","2018-04-01","51","1","1"
"2700805","5","5611203","2018-05-01","27","1","0"
"3205309","5","5611203","2020-12-01","32","648","1"
"3304557","5","5611204","2020-12-01","33","4277","1"
"4205407","5","5611204","2020-12-01","42","608","0"
"1100205","5","5611203","2021-01-01","11","577","1"
"2111300","5","5611204","2021-01-01","21","436","1"
"2211001","5","5611204","2021-01-01","22","325","1"
